RNA,Locus
XM_036980511.1,LOC110526187
XM_036980500.1,LOC110526187
XM_036980528.1,LOC110526187
XM_036980524.1,LOC110526187
XM_036980526.1,LOC110526187
XM_036980523.1,LOC110526187
XM_036980516.1,LOC110526187
XM_036980515.1,LOC110526187
XM_036980514.1,LOC110526187
XM_036980512.1,LOC110526187
XM_036980510.1,LOC110526187
XM_036980504.1,LOC110526187
XM_036980498.1,LOC110526187
XM_036980509.1,LOC110526187
XM_036980502.1,LOC110526187
XM_036980506.1,LOC110526187
XM_036980505.1,LOC110526187
XM_036980497.1,LOC110526187
XM_036980496.1,LOC110526187
XM_036980521.1,LOC110526187
XM_036980535.1,LOC110526187
XM_036980534.1,LOC110526187
XM_036980533.1,LOC110526187
XM_036980531.1,LOC110526187
XM_036980536.1,LOC110526187
XM_021606939.2,ptpmt1
XM_021606938.2,ptpmt1
XM_021606942.2,ndufs3
XM_021606941.2,LOC110526190
XM_036980543.1,LOC110526192
XM_036980542.1,LOC110526192
XM_036980541.1,LOC110526192
XM_036980544.1,LOC110526192
XM_021606945.2,LOC110526193
XM_021606944.2,LOC110526193
XM_036980546.1,LOC110526195
XM_036980547.1,LOC110526195
XM_021606948.2,LOC110526195
XM_021606946.2,LOC110526195
XR_002473900.2,LOC110526194
XM_021606949.2,LOC110526197
XM_021606951.2,LOC110526198
XM_021606950.2,LOC110526198
XM_036980563.1,LOC110526199
XM_036980562.1,LOC110526199
XM_036980565.1,LOC110526199
XM_036980560.1,LOC110526199
XM_036980564.1,LOC110526199
XM_036980548.1,LOC110526199
XM_036980554.1,LOC110526199
XM_036980555.1,LOC110526199
XM_036980551.1,LOC110526199
XM_036980552.1,LOC110526199
XM_036980557.1,LOC110526199
XM_036980556.1,LOC110526199
XM_036980553.1,LOC110526199
XM_036980559.1,LOC110526199
XM_036980558.1,LOC110526199
XM_036980549.1,LOC110526199
XM_036980566.1,LOC110526199
XM_036980567.1,creb3l1
XM_036980568.1,creb3l1
XM_021606957.2,LOC110526201
XM_021606954.2,LOC110526201
XM_021606959.2,LOC110526201
XM_021606955.2,LOC110526201
XM_021606962.2,LOC110526201
XM_021606964.2,LOC110526201
XM_021606963.2,LOC110526201
XM_021606956.2,LOC110526201
XR_005052169.1,LOC118964911
XM_021606966.2,zgc:110699
XM_036980571.1,zgc:110699
XM_021606967.2,zgc:110699
XM_021606965.2,zgc:110699
XM_021606969.2,harbi1
XM_021606978.2,atg13
XM_021606979.2,atg13
XM_021606980.2,atg13
XM_021606981.2,atg13
XM_021606982.2,atg13
XM_021606983.2,atg13
XM_021606985.2,atg13
XM_021606986.2,atg13
XM_021606987.2,atg13
XM_021606988.2,arhgap1
XM_021606989.2,arhgap1
XM_036980576.1,arhgap1
XM_021606977.2,f2
XM_036980573.1,znf408
XM_036980575.1,znf408
XM_036980572.1,znf408
XM_036980574.1,znf408
XM_036981766.1,LOC110526205
XR_005052170.1,syt13
XM_021606995.2,syt13
XM_021606994.2,syt13
XM_021606991.2,fbxo3
XM_021606990.2,fbxo3
XM_021606996.2,LOC110526214
XM_021604991.2,aplnr2
XM_021606998.2,psmc3
XM_021606999.2,psmc3
XM_021607000.2,mtch2
XM_021607001.2,LOC110526217
XM_021607003.2,LOC110526219
XM_021607002.2,LOC110526218
XM_021607004.2,fadd
XM_036980579.1,ano1a
XM_036980578.1,ano1a
XM_021607007.2,ano1a
XM_021607006.2,ano1a
XM_021607005.2,ano1a
XM_036980580.1,ano1a
XM_036980583.1,LOC110526223
XM_036980581.1,LOC110526223
XM_036980582.1,LOC110526223
XM_021607009.2,LOC110526223
XM_036980584.1,fgf3
XR_005052172.1,LOC110526227
XR_002473905.2,LOC110526227
XM_021607014.2,LOC110526226
XM_021607011.2,fgf19
XM_021607016.2,ccnd1
XR_002473906.2,LOC110526229
XM_021607017.2,LOC110526229
XM_036980585.1,LOC110526231
XM_021607019.2,LOC110526232
XM_036980588.1,LOC110526932
XM_036980591.1,LOC110526234
XM_036980590.1,LOC110526234
XM_021607025.2,LOC110526234
XM_036980592.1,LOC110526234
XM_036980593.1,LOC110526234
XM_036980589.1,LOC110526234
XM_036980586.1,LOC110526233
XM_021607031.2,LOC110526235
XM_021607030.2,LOC110526235
XR_005052173.1,LOC110524145
XM_021607033.2,LOC110526238
XM_021607032.2,slc7a6
XM_021607036.2,LOC110526239
XM_021607035.2,LOC110526239
XM_021607037.2,LOC110526239
XM_021607038.2,LOC110526240
XM_036980595.1,LOC110526933
XM_036980596.1,LOC110526241
XM_021607042.2,LOC110526242
XM_021607040.2,LOC110526242
XM_021607041.2,LOC110526242
XM_021607044.2,LOC110526242
XM_021607046.2,LOC110526244
XM_036980598.1,LOC110526245
XM_036980603.1,LOC110526245
XM_036980601.1,LOC110526245
XM_036980599.1,LOC110526245
XM_036980602.1,LOC110526245
XM_036980607.1,LOC110526245
XM_036980608.1,LOC110526245
XM_036980600.1,LOC110526245
XM_036980604.1,LOC110526245
XM_036980606.1,LOC110526245
XM_036980605.1,LOC110526245
XM_036980609.1,LOC110526935
XM_021607053.2,LOC110526249
XM_021607052.2,LOC110526249
XM_036980611.1,LOC110526249
XM_036980610.1,LOC110526249
XM_021607051.2,LOC110526249
XM_021607055.2,LOC110526251
XR_005052175.1,LOC118964913
XR_005052174.1,LOC118964913
XM_036980612.1,tshz3b
XM_036980615.1,znf536
XM_036980613.1,znf536
XM_036980616.1,znf536
XM_036980614.1,znf536
XM_036980617.1,znf536
XM_021607060.2,ccne1
XM_021607065.2,si:ch211-260e23.9
XM_021607061.2,LOC110526256
XM_021607067.2,LOC110526258
XM_021607068.2,pop4
XM_036980618.1,pop4
XM_036980619.1,LOC110526936
XM_036980620.1,LOC110526261
XM_036981767.1,LOC110526937
XM_021607074.2,LOC100653452
XM_021607073.2,LOC110526263
XM_021607071.2,LOC110526263
XM_021607072.2,LOC110526263
XR_005052180.1,LOC110526265
XR_005052179.1,LOC110526265
XR_005052181.1,LOC110526265
XR_005052182.1,LOC110526265
XR_005052178.1,LOC110526265
XM_021607078.2,LOC110526266
XM_021607076.2,LOC110526266
XM_021607075.2,LOC110526266
XM_021607079.2,LOC110526267
XM_021607080.2,LOC110526268
XM_021607088.2,LOC110526273
XM_021607087.2,LOC110526272
XM_021607085.2,LOC110526272
XM_036980625.1,LOC110526271
XM_021607083.2,LOC110526271
XM_036980624.1,LOC110526270
XM_036980623.1,LOC110526270
XM_036980622.1,LOC110526270
XM_021607089.2,LOC110526274
XM_021607090.2,LOC110526274
XM_021607094.2,LOC110526275
XM_021607091.2,LOC110526275
XM_021607096.2,LOC110526276
XM_036980628.1,LOC110526276
XM_036980630.1,LOC110526277
XM_021607098.2,LOC110526278
XM_021607099.2,LOC110526278
XM_021607100.2,LOC110526279
XM_021607101.2,LOC110526280
XM_021607105.2,LOC110526282
XM_021607104.2,LOC110526281
XM_021607103.2,LOC110526281
XM_036980631.1,LOC110526281
XM_036980634.1,LOC110526283
XM_036980633.1,LOC110526283
XM_036980635.1,LOC110526284
XM_021607112.2,LOC110526285
XM_021607114.2,LOC110526286
XM_036980636.1,LOC110526287
XM_036980638.1,LOC110526287
XM_021607116.2,LOC110526288
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
trnaf,tRNA
XR_005052183.1,LOC110526289
XM_021607117.2,LOC110526291
XM_021607118.2,LOC110526293
XR_005052186.1,LOC110526296
XR_005052185.1,LOC110526296
XR_005052184.1,LOC110526296
XM_036980640.1,LOC110526296
XM_036980639.1,LOC110526296
XM_021607120.2,LOC110526295
XM_021607119.2,LOC110526294
XM_021607123.2,LOC110526297
XM_036981768.1,LOC110526938
XR_002473917.2,LOC110526298
XM_021607124.2,LOC110526298
XM_036980641.1,LOC110526298
XM_036980642.1,LOC110526298
XM_036980643.1,LOC110526298
XM_021607127.2,LOC110526300
XM_021607128.2,LOC110526300
XM_021607126.2,pabpn1l
XM_021607125.2,pabpn1l
XM_021607135.2,LOC110526302
XM_021607131.2,LOC110526302
XM_021607134.2,LOC110526302
XM_021607129.2,LOC110526302
XM_021607132.2,LOC110526302
XM_021607138.2,LOC110526302
XM_021607130.2,LOC110526302
XM_036980644.1,LOC110526302
XR_005052419.1,LOC118965084
XR_002473918.2,LOC110526304
XR_005052187.1,LOC110526304
XR_002473919.2,LOC110526304
XR_002473921.2,LOC110526304
XM_021607139.2,LOC110526303
XM_021607143.2,LOC110526307
XM_021607141.2,LOC110526305
XM_021607140.2,LOC110526305
XM_036980649.1,LOC110526939
XM_036980651.1,LOC110526939
XM_036980647.1,LOC110526939
XM_036980648.1,LOC110526939
XM_036980646.1,LOC110526939
XM_036980652.1,LOC110526939
XM_036980650.1,LOC110526939
XM_036981769.1,LOC110526308
XM_036980653.1,LOC110526309
XM_036980654.1,LOC110526310
XM_021607149.2,unclassified transcription discrepancy
XM_036980655.1,LOC118936659
XR_005052188.1,LOC118964917
XM_036980656.1,LOC118964916
XM_036981770.1,LOC118965038
XR_005052189.1,LOC118964918
XR_005052190.1,LOC110526312
XM_036980657.1,LOC110526312
XM_021607154.2,dhodh
XM_036981771.1,LOC110526940
XR_005052191.1,LOC110526317
XM_036980659.1,LOC110526314
XM_036980660.1,LOC110526314
XM_036980658.1,LOC110526314
XM_021607163.2,mcee
XM_021607162.2,mcee
XM_021607165.2,mcee
XM_021607164.2,mcee
XM_021607169.2,apba2b
XM_036980661.1,apba2b
XM_021607170.2,apba2b
XM_021607171.2,LOC110526320
XM_021604992.2,terb2
XM_036980662.1,LOC100750227
XM_036980666.1,LOC100750227
XM_036980669.1,LOC100750227
XM_036980663.1,LOC100750227
XM_036980671.1,LOC100750227
XM_036980665.1,LOC100750227
XM_036980667.1,LOC100750227
XM_036980664.1,LOC100750227
XM_036980668.1,LOC100750227
XM_036980670.1,LOC100750227
XM_036980673.1,LOC100750227
XM_036980674.1,LOC100750227
XM_021607172.2,LOC100750227
XM_021607185.2,LOC100750227
XM_036980675.1,LOC110526321
XM_036980678.1,golm2
XM_036980682.1,golm2
XM_036980676.1,golm2
XM_036980677.1,golm2
XM_036980679.1,golm2
XM_036980681.1,golm2
XM_036980684.1,LOC110526325
XM_021607198.2,LOC110526325
XM_036980683.1,LOC110526325
XM_021607196.2,LOC110526325
XM_036980685.1,strc1
XM_021607199.2,LOC110526326
XM_021607200.2,cilp
XM_036980686.1,cilp
XM_021607201.2,igdcc3
XM_036980687.1,igdcc4
XM_021607204.2,LOC110526331
XM_021607205.2,LOC110526331
XM_021607203.2,LOC110526331
XM_021607207.2,LOC110526332
XM_021607209.2,insyn1
XM_021607210.2,insyn1
XM_021607212.2,LOC110526336
XM_036980688.1,LOC110526336
XM_021607214.2,LOC110526336
XM_021607215.2,LOC110526337
XM_021607216.2,LOC110526337
XM_021607217.2,LOC110526337
XM_036980689.1,LOC110526337
XM_036980690.1,LOC110526337
XM_036980692.1,LOC110526338
XM_036980691.1,LOC110526338
XM_021607226.2,LOC110526341
XM_021607225.2,LOC110526341
XM_021607229.2,LOC110526343
XM_021607230.2,LOC110526344
XM_036980693.1,chrna5
XM_021607231.2,chrna5
XM_021607232.2,chrna5
XM_036980694.1,LOC110526346
XM_021607237.2,LOC118936302
XM_021607239.2,LOC110526348
XM_036981829.1,LOC118965085
XR_005052194.1,LOC110526349
XR_005052195.1,LOC110526349
XR_002473931.2,LOC110526349
XR_002473932.2,LOC110526349
XM_021607243.2,LOC110526349
XM_021607244.2,LOC110526349
XM_021607240.2,LOC110526349
XM_021607242.2,LOC110526349
XR_002473933.2,LOC110526350
XM_021607245.2,LOC110526350
XM_021607246.2,LOC110526350
XM_021607251.2,LOC110526353
XM_021607252.2,LOC110526353
XM_021607253.2,dhdh.2
XM_036980695.1,LOC110526352
XM_021607250.2,LOC110526352
XM_021607249.2,LOC110526352
XM_021607248.2,LOC110526352
XR_005052196.1,LOC110526356
XM_036980697.1,LOC110526356
XM_036980698.1,LOC110526356
XM_036980699.1,LOC110526356
XM_036980696.1,LOC110526356
XR_005052197.1,LOC110526357
XM_036980700.1,LOC110526357
XM_036980702.1,LOC110526357
XM_036980708.1,LOC110526357
XM_036980709.1,LOC110526357
XM_036980701.1,LOC110526357
XM_036980706.1,LOC110526357
XM_036980707.1,LOC110526357
XM_036980704.1,LOC110526357
XM_036980711.1,LOC110526357
XM_036980710.1,LOC110526357
XM_036980712.1,LOC110526357
XM_036980715.1,LOC110526357
XM_036980703.1,LOC110526357
XM_036980705.1,LOC110526357
XM_036980713.1,LOC110526357
XM_036980714.1,LOC110526357
XM_036980716.1,LOC110526357
XM_036980717.1,LOC110526357
XM_036980718.1,LOC110526358
XM_021607264.2,LOC110526359
XM_021607265.2,LOC110526360
XM_021607268.2,LOC110526363
XM_021607267.2,LOC110526363
XR_002473936.2,LOC110526361
XM_021607266.2,LOC110526361
XM_021607271.2,LOC110526364
XM_036980722.1,LOC110526365
XM_036980720.1,LOC110526365
XM_036980721.1,LOC110526365
XM_021607273.2,LOC110526366
XM_036980723.1,LOC110526368
XM_021607282.2,LOC110526368
XM_021607284.2,LOC110526368
XM_021607283.2,LOC110526368
XM_021607285.2,LOC110526368
XM_021607286.2,LOC110526369
XM_021607274.2,LOC110526367
XM_021607277.2,LOC110526367
XM_021607281.2,LOC110526367
XM_021607278.2,LOC110526367
XM_021608121.2,LOC110526945
XM_021607287.2,LOC110526370
XM_036981772.1,mRNA
XM_021607289.2,LOC110526373
XM_021607292.2,LOC110526374
XM_021607293.2,LOC110526374
XM_036980729.1,LOC110526374
XM_036980728.1,LOC110526374
XM_036980727.1,LOC100499618
XM_036980725.1,LOC100499618
XM_036980726.1,LOC100499618
XM_021607294.2,LOC110526375
XM_021607296.2,LOC110526376
XM_021607297.2,LOC110526376
XM_021607295.2,LOC110526376
XM_036980731.1,LOC110526376
XM_021607299.2,LOC110526376
XM_021607298.2,LOC110526376
XM_036980730.1,LOC110526376
XM_021607301.2,LOC110526378
XM_021607302.2,LOC110526378
XR_002473937.2,LOC110526379
XR_005052199.1,LOC110526379
XR_005052198.1,LOC110526379
XM_021607319.2,LOC110526379
XM_021607318.2,LOC110526379
XM_021607315.2,LOC110526379
XM_021607313.2,LOC110526379
XM_021607312.2,LOC110526379
XM_021607310.2,LOC110526379
XM_021607308.2,LOC110526379
XM_021607307.2,LOC110526379
XM_021607311.2,LOC110526379
XM_021607305.2,LOC110526379
XM_021607306.2,LOC110526379
XM_021607309.2,LOC110526379
XM_021607303.2,LOC110526379
XM_021607323.2,dkk3a
XM_021607322.2,dkk3a
XM_036980735.1,usp47
XM_036980734.1,usp47
XM_036980733.1,usp47
XM_036980737.1,usp47
XM_036980736.1,usp47
XM_021607325.2,LOC110526383
XM_021607326.2,LOC110526384
XM_036980741.1,bco1
XM_036980739.1,bco1
XM_036980738.1,bco1
XM_036980740.1,bco1
XM_021607327.2,LOC110526385
XM_021607328.2,pkd1l2a
XM_021607330.2,pkd1l2a
XM_021607331.2,pkd1l2a
XR_005052201.1,LOC118964921
XM_036980744.1,LOC110526388
XM_036980742.1,LOC110526388
XM_036980743.1,LOC110526388
XM_036980746.1,LOC110526388
XM_036980748.1,LOC110526388
XM_036980745.1,LOC110526388
XM_036980747.1,LOC110526388
XM_036980749.1,LOC110526388
XM_021607336.2,LOC110526389
XM_036980750.1,LOC110526389
XM_021607338.2,LOC110526391
XM_036980752.1,LOC110526391
XM_036980751.1,LOC110526390
XR_005052448.1,LOC118965117
XR_005052446.1,LOC118965114
XR_005052447.1,LOC118965116
XM_021607339.2,LOC110526392
XM_021607340.2,LOC110526392
XM_021607342.2,LOC110526393
XM_036980753.1,LOC110526948
XM_036980755.1,LOC110526948
XM_036980754.1,LOC110526948
XM_036980758.1,LOC110526397
XM_036980759.1,LOC110526397
XM_036980756.1,LOC110526396
XM_036980757.1,LOC110526396
XR_005052203.1,LOC110526398
XR_005052205.1,LOC110526398
XR_005052204.1,LOC110526398
XR_005052206.1,LOC110526398
XR_002473947.2,LOC110526398
XM_036980762.1,LOC110526399
XM_036980761.1,LOC110526399
XM_036980760.1,LOC110526399
XM_036980763.1,LOC110526399
XM_021607349.2,LOC110526401
XM_021607350.2,LOC110526401
XM_036980764.1,LOC110526402
XM_036980765.1,LOC110526402
XM_021607352.2,LOC110526403
XM_036980766.1,LOC110526403
XM_021607353.2,LOC110526403
XM_021608125.2,LOC110526949
XM_021607357.2,LOC110526404
XM_021607361.2,LOC110526405
XM_021607359.2,LOC110526405
XM_036980767.1,LOC110526405
XM_021607369.2,LOC110526406
XM_021607367.2,LOC110526406
XM_036980769.1,LOC110526406
XM_021607368.2,LOC110526406
XM_021607363.2,LOC110526406
XM_036980770.1,LOC110526406
XM_021607362.2,LOC110526406
XM_021607365.2,LOC110526406
XM_036980768.1,LOC110526406
XM_036980771.1,LOC110526406
XM_021607364.2,LOC110526406
XR_005052207.1,LOC110526407
XM_036980773.1,LOC110526407
XM_021607370.2,LOC110526407
XM_021607371.2,LOC110526407
XM_036980772.1,LOC110526407
XM_021607372.2,LOC110526408
XR_005052214.1,LOC110526409
XR_005052213.1,LOC110526409
XR_005052209.1,LOC110526409
XR_005052212.1,LOC110526409
XR_005052208.1,LOC110526409
XR_005052211.1,LOC110526409
XR_005052210.1,LOC110526409
XM_036980780.1,LOC110526409
XM_036980779.1,LOC110526409
XM_036980777.1,LOC110526409
XM_036980775.1,LOC110526409
XM_036980776.1,LOC110526409
XM_036980774.1,LOC110526409
XM_036980778.1,LOC110526409
XR_005052219.1,LOC118964922
XR_005052218.1,LOC118964922
XR_005052216.1,LOC118964922
XR_005052215.1,LOC118964922
XR_005052217.1,LOC118964922
XM_036980787.1,LOC118964922
XM_036980786.1,LOC118964922
XM_036980784.1,LOC118964922
XM_036980782.1,LOC118964922
XM_036980783.1,LOC118964922
XM_036980781.1,LOC118964922
XM_036980785.1,LOC118964922
XR_005052220.1,LOC118964923
XR_005052221.1,LOC118964923
XM_036980791.1,LOC118964923
XM_036980789.1,LOC118964923
XM_036980790.1,LOC118964923
XM_036980788.1,LOC118964923
XM_036980793.1,LOC118964923
XR_005052420.1,LOC118965086
XM_036980794.1,LOC110526410
XM_036980795.1,LOC110526410
XM_021604937.2,LOC100136691
NM_001124659.2,annotated by transcript or proteomic data
XM_036980797.1,LOC110526411
XM_036980800.1,LOC110526411
XM_036980802.1,LOC110526411
XM_036980796.1,LOC110526411
XM_036980799.1,LOC110526411
XM_036980798.1,LOC110526411
XM_021607377.2,LOC110526412
XM_021607378.2,mindy2
XM_021607379.2,mindy2
XM_021607380.2,adam10a
XM_036980804.1,adam10a
XM_036980803.1,adam10a
XM_036980805.1,LOC110526950
trnar,tRNA
XM_021607381.2,LOC110526415
XM_021607382.2,aldh1a2
XM_036981773.1,LOC110526951
XM_036980808.1,LOC110526418
XM_036980810.1,LOC110526419
XM_036980809.1,LOC110526419
XM_036980812.1,LOC110526419
XM_036980811.1,LOC110526419
XM_036980813.1,LOC110526419
XR_005052443.1,LOC118965111
XM_021607385.2,LOC110526420
XM_021607388.2,LOC110526420
XM_036980816.1,LOC110526420
XM_021607387.2,LOC110526420
XM_036980815.1,LOC110526420
XM_021607389.2,LOC110526420
XR_005052222.1,LOC110526422
XM_036980818.1,LOC110526423
XM_021607392.2,LOC110526423
XM_021607393.2,LOC110526423
XM_021607390.2,LOC110526423
XM_021607391.2,LOC110526423
XM_036980820.1,LOC110526425
XM_036980819.1,LOC110526425
XM_036980821.1,LOC110526425
XM_021607395.2,LOC110526425
XM_021607396.2,LOC110526425
XM_036980822.1,LOC110526426
XR_002473954.2,LOC110526433
XM_021607414.2,LOC110526429
XM_021607402.2,LOC110526427
XM_021607401.2,LOC110526427
XM_021607403.2,LOC110526427
XM_021607409.2,LOC110526427
XM_021607404.2,LOC110526427
XM_021607405.2,LOC110526427
XM_021607400.2,LOC110526427
XM_021607406.2,LOC110526427
XM_036980824.1,LOC110526427
XM_021607407.2,LOC110526427
XM_021607410.2,pigb
XM_036980825.1,pigb
XM_036980827.1,pigb
XM_021607411.2,pigb
XM_036980826.1,pigb
XM_036980828.1,pigb
XM_021607416.2,LOC110526430
XM_021607415.2,LOC110526430
XM_021607417.2,LOC110526430
XM_021607418.2,LOC110526432
XM_021607420.2,LOC110526434
XM_021607422.2,LOC110526435
XR_002473955.2,LOC110526436
XM_021604935.2,tradd
XM_021604936.2,tradd
XM_036979131.1,tradd
NM_001124639.2,annotated by transcript or proteomic data
XM_036980831.1,mRNA
XM_021607432.2,LOC110526442
XM_036980830.1,LOC110526441
XM_021607423.2,LOC110526437
XM_021607424.2,LOC110526438
XM_021607426.2,LOC110526439
XM_021607427.2,LOC110526439
XM_021607425.2,LOC110526439
XM_021607429.2,LOC110526439
XM_021607428.2,LOC110526439
XM_036980833.1,LOC110526443
XM_021607434.2,LOC110526443
XM_021607435.2,LOC110526444
XM_021607436.2,LOC110526445
XM_021607437.2,LOC110526445
XM_036980838.1,LOC110526445
XM_036980836.1,LOC110526446
XM_036980834.1,LOC110526446
XM_036980835.1,LOC110526446
XM_036980839.1,LOC110526447
XM_021607440.2,LOC110526448
XM_021607441.2,LOC110526450
XM_021607442.2,LOC110526451
XM_021607445.2,LOC110526452
XM_021607446.2,LOC110526454
XR_005052454.1,LOC118965123
XM_036980843.1,LOC110526457
XM_036980842.1,LOC110526457
XM_036980841.1,LOC110526456
XM_036981775.1,LOC110526955
XM_036980844.1,LOC110526458
XM_036980845.1,LOC110526458
XM_036980847.1,LOC110526459
XM_021607451.2,LOC110526459
XM_021607450.2,LOC110526459
NM_001124523.1,annotated by transcript or proteomic data
XR_005052223.1,LOC118964924
XR_002473959.2,LOC110526462
XR_002473958.2,LOC110526462
XR_005052224.1,LOC118964925
trnar,tRNA
trnar,tRNA
XM_036980849.1,LOC110526463
XM_021607455.2,LOC110526463
XM_021607453.2,LOC110526463
